사료 번호,연대,대대,중대,기타소속,년도,월,일,날짜,지역 분류,지역,일본군수,의병수,일본군사상자,의병사망,한국군사망,특이사항,의병 지휘부
사료19,,,파견 기병 3,,1908,3,6,1908-03-06,경기도,인천,15,23,,23,,"밀정 오만년 체포, 노송암 생포",노송암
사료19,47,,7,사카모토 토벌대,1908,3,8,1908-03-08,경기도,파주,,,,90,,,
사료19,47,,7,,1908,3,8,1908-03-08,황해도,평산,,100,1,29,,,
사료19,14,,8,,1908,3,9,1908-03-09,전라남도,광주,10,40,,16,,,
사료19,52,,5,달천 분견대,1908,3,9,1908-03-09,충청북도,충주,13,120,,22,,파란옷 80,
사료19,51,,1,,1908,3,9,1908-03-09,강원도,횡성,10,60,1,33,,,
사료19,51,,1,횡성 분견대,1908,3,12,1908-03-12,강원도,횡성,,,,51,,,
사료19,52,,3,1소대,1908,3,14,1908-03-14,평안도,강동,8,35,,11,,,
사료20,50,,6,,1908,3,5,1908-03-05,강원도,평강,7,15,,5,,,
사료20,50,,12,고산 분견대,1908,3,15,1908-03-15,강원도,고산,5,2,,1,,,
사료20,47,,6,미나미 중위 토벌대,1908,3,5,1908-03-05,충청남도,서천,8,45,,24,,,
사료20,47,,6,,1908,3,16,1908-03-16,충청남도,서천,5,16,,2,,,
사료20,14,,10,,1908,3,17,1908-03-17,경상북도,경주,8,40,,11,,,
사료20,14,,10,,1908,3,17,1908-03-17,경상북도,경주,15,130,,8,,,
사료20,14,,10,,1908,3,18,1908-03-18,경상북도,경주,8,10,,1,,,
사료20,14,,10,,1908,3,31,1908-03-31,경상북도,경주,8,30,,7,,,
사료20,50,,5,,1908,3,20,1908-03-20,경기도,연천,4,30,,,,,
사료20,50,,5,연천 수비대,1908,3,20,1908-03-20,경기도,연천,7,20,1,10,,,
사료20,52,,12,,1908,3,33,1908-04-02,경기도,가평,67,200,,18,,,
사료20,51,,3,,1908,3,24,1908-03-24,충청북도,단양,7,70,,2,,,이명상
사료20,14,,2,,1908,3,24,1908-03-24,경상북도,김천,6,40,,4,,,
사료20,14,,6,,1908,3,27,1908-03-27,경상북도,고창,14,,3,6,,,
사료20,14,,5,야로 분견대,1908,3,31,1908-03-31,경상남도,합천,4,70,,11,,,
사료20,14,,12,,1908,4,3,1908-04-03,경상북도,김천,6,30,,13,,"박봉래, 최지 사살",박봉래
사료20,14,,12,무라타 토벌대,1908,4,3,1908-04-03,경상북도,경주,14,100,,26,,,
사료20,14,,12,하야시다 토벌대,1908,4,4,1908-04-04,경상북도,경주,,50,,28,,,
사료20,14,,8,,1908,4,4,1908-04-04,전라남도,광주,16,50,,10,,,
사료21,,,파견 기병 2,,1908,3,16,1908-03-16,경상북도,청양,9,15,,5,,,
사료21,,,파견 기병 1,,1908,3,17,1908-03-17,전라남도,함평,6,13,,2,,,
사료21,,,파견 기병 1,담양 분둔대,1908,3,22,1908-03-22,전라남도,담양,6,100,,12,,,
사료21,,,파견 기병 1,태인 분둔대,1908,3,25,1908-03-25,전라북도,부안,7,60,1,7,,,김태근
사료21,14,,6,,1908,3,29,1908-03-29,충청남도,공주,47,100,,47,,붉은 바지 20,
사료21,,,파견 기병 1,태인 분둔대,1908,4,2,1908-04-02,전라북도,부안,4,30,,7,,,
사료21,,,파견 기병1,,1908,4,4,1908-04-04,전라북도,정읍,9,40,,11,,,
사료21,49,,4,,1908,4,6,1908-04-06,강원도,평창,13,300,,57,,,
사료21,,,파견 기병 2,,1908,4,7,1908-04-07,전라남도,영광,17,100,,43,,,
사료21,14,,5,,1908,4,8,1908-04-08,경상남도,거창,18,120,,29,,,이순진
사료21,,,파견 기병 4,미야자와 대,1908,4,9,1908-04-09,충청남도,공주,15,15,,9,,,
사료21,,,파견 기병 4,미야자와 대,1908,4,12,1908-04-12,충청남도,공주,15,17,,17,,,김대장
사료21,14,,9,,1908,4,11,1908-04-11,경상남도,진주,6,40,,16,,,
사료21,14,,10,,1908,4,10,1908-04-10,경상북도,경주,7,10,,8,,,
사료21,47,,3,,1908,4,13,1908-04-13,경상북도,문경,7,70,,19,,,
사료21,47,,3,,1908,4,16,1908-04-16,경상북도,문경,,50,,12,,,윤성봉
사료21,14,,5,오쿠하라 대,1908,4,21,1908-04-21,전라북도,진안,,80,,27,,"부장 최덕일, 윤정오 부상",
사료21,47,,6,,1908,4,22,1908-04-22,충청북도,옥천,9,50,,20,,,
사료21,,,파견 기병 4,1소대,1908,4,10,1908-04-10,충청남도,논산,9,9,,9,,,
사료21,,,파견 기병 3,1소대,1908,4,16,1908-04-16,충청남도,서천,8,50,,10,,,이도사
사료21,47,,1,아오키 토벌대,1908,4,17,1908-04-17,경상북도,청송,,100,,38,,,서원식
사료21,50,,11,,1908,4,18,1908-04-18,평안도,양덕,12,28,,3,,,
사료21,51,,8,,1908,4,17,1908-04-17,경기도,가평,9,,,,,"이봉관, 박춘우, 송호영 생포",
사료21,49,,1,,1908,4,21,1908-04-21,강원도,강릉,16,400,,70,,,박하사
사료21,49,,5,,1908,4,23,1908-04-23,함경도,무산,,,,39,,"남의대장, 중대장2 사살",
사료21,50,,7,,1908,4,30,1908-04-30,강원도,화천,7,250,,70,,한국군 130,
사료22,,,,강계 수비대,1908,4,14,1908-04-14,함경도,김형직군,31,440,3,50,,"참모 박태원, 중대장 장종태 생포",양봉규
사료22,,,파견 기병 1,야마구치 분둔대,1908,4,16,1908-04-16,전라남도,곡성,5,26,,6,,,황인선
사료22,,,파견 기병 1,,1908,4,18,1908-04-18,전라남도,장성,15,70,3,12,,,
사료22,50,3,,,1908,4,25,1908-04-25,강원도,원산,26,150,,26,,,
사료22,,,파견 기병 1,,1908,4,22,1908-04-22,전라남도,영광,5,40,,,,이진옥 생포,이진옥
사료22,,,파견 기병 2,,1908,4,22,1908-04-22,전라남도,나주,14,20,,5,,,
사료22,,,파견 기병 1,,1908,4,24,1908-04-24,전라남도,광주,,,,15,,,
사료22,14,,5,야마다 토벌대,1908,4,27,1908-04-27,전라북도,무주,17,140,,87,,,
사료22,,,파견 기병 2,,1908,4,28,1908-04-28,전라북도,고창,16,130,,17,,,
사료22,,,,하동 수비대,1908,4,30,1908-04-30,경상남도,하동,7,20,,10,,,
사료22,,,,하동 수비대,1908,5,1,1908-05-01,경상남도,하동,7,80,3,48,,,
사료22,,,,평남 성천 수비대,1908,5,1,1908-05-01,평안도,성천,10,30,,11,,,
사료22,,,,삼등 수비대,1908,5,1,1908-05-01,평안도,평양,5,,,16,,,
사료22,50,,8,,1908,5,3,1908-05-03,경기도,이천,,250,,130,,,
사료22,,,,인제 수비대,1908,5,5,1908-05-05,강원도,인제,10,350,,42,,,"이강년, 이준명, 정원팔"
사료22,,,파견 기병 2,,1908,5,10,1908-05-10,전라북도,부안,9,50,1,13,,,
사료22,,,파견 기병 2,,1908,5,8,1908-05-08,전라북도,정읍,,150,,9,,,
사료23,,,파견 기병 1,,1908,4,25,1908-04-25,전라남도,장성,22,40,,26,,김태원 사살,김태원
사료23,,,파견 기병 1,담양 분둔대,1908,4,29,1908-04-29,전라남도,담양,6,50,,4,,,
사료23,,,파견 기병 1,담양 분둔대,1908,4,30,1908-04-30,전라북도,부안,6,130,,11,,,
사료23,,,파견 기병 1,미사와 토벌대,1908,5,7,1908-05-07,전라남도,담양,6,,,7,,,
사료23,,,파견 기병 1,오카 토벌대,1908,5,1,1908-05-01,전라남도,화순,30,50,,26,,이학삼 사살,이학삼
사료23,,,파견 기병 3,,1908,5,8,1908-05-08,전라북도,정읍,9,50,,20,,,
사료23,52,,11,함천 수비대,1908,5,10,1908-05-10,,,10,,,10,,,
사료23,14,,5,,1908,5,12,1908-05-12,경상남도,함양,42,,,7,,,
사료23,,,파견 기병 1,,1908,5,11,1908-05-11,전라북도,남원,5,30,,17,,,
사료23,47,,5,아베 토벌대,1908,5,12,1908-05-12,강원도,정선,,130,,32,,,
사료23,,,파견 기병 2,영광 수비대,1908,5,18,1908-05-18,전라북도,고창,8,20,,5,,,
사료23,,,,삼등 수비대,1908,5,21,1908-05-21,평안도,평양,3,30,,,,,
사료23,,,파견 기병 3,2소대,1908,5,16,1908-05-16,전라북도,정읍,10,16,,11,,,
사료23,,,파견 기병 1,순창 분둔대,1908,5,13,1908-05-13,전라북도,정읍,7,20,,9,,,
사료23,14,,7,거창 수비대,1908,5,26,1908-05-26,전라북도,무주,,100,2,76,,,문태익
사료 24,,,파견 기병 3,가와바타 토벌대,1908,5,19,1908-05-19,전라북도,순창,10,50,,9,,,
사료 24,,,파견 기병 1,사이토 분견대,1908,5,19,1908-05-19,전라남도,화순,23,85,,70,,,
사료 24,,,파견 기병 1,오카 토벌대,1908,5,31,1908-05-31,전라남도,장성,16,71,2,70,,,"조기송(조정용), 유상렬"
사료 24,47,,9,고우노 소대,1908,6,4,1908-06-04,충청북도,봉화,,100,,70,,,
사료 24,47,,1,니나가와 토벌대,1908,6,7,1908-06-07,충청북도,봉화,,150,2,48,,박상보 부상,
